|normal|withouturl|no_clean|url_clean
556|Tune in at 11:25 a.m. ET to watch as President Obama designates a new national monument honoring women's equality: http:// ofa.bo/uOX|Tune in at 11:25 a.m. ET to watch as President Obama designates a new national monument honoring women's equality: http://  |5.6288888888888895|5.6288888888888895
557|Side by side. #NationalPetDay pic.twitter.com/nvursfUJqE|Side by side. #NationalPetDay  |4.98|4.98
558|We cannot let political gridlock and dysfunction spread to our Supreme Court. pic.twitter.com/ieJPV45nK5|We cannot let political gridlock and dysfunction spread to our Supreme Court.  |4.9399999999999995|4.9399999999999995
559|It's time for the United States to #LeadOnLeave  show your support if you agree: http:// ofa.bo/fA5e|It's time for the United States to #LeadOnLeave  show your support if you agree: http://  |5.482500000000001|5.566666666666666
560|Retweet if you believe it's time for the United States to #LeadOnLeave . pic.twitter.com/8jsAkBBqzx|Retweet if you believe it's time for the United States to #LeadOnLeave .  |5.425000000000001|5.425000000000001
561|Speak up for a fair hearing for Judge Merrick Garland: http:// ofa.bo/gA4N #DoYourJob|Speak up for a fair hearing for Judge Merrick Garland: http://   #DoYourJob|5.766666666666667|5.766666666666667
562|This is unprecedented. #DoYourJob pic.twitter.com/kMdn564dCW|This is unprecedented. #DoYourJob  |5.18|5.18
563|Add a comment if you agree: American workers shouldn't have to choose between their health and a paycheck. http:// ofa.bo/b5wE|Add a comment if you agree: American workers shouldn't have to choose between their health and a paycheck. http://  |5.43|5.43
564|Working families in America should have the basic security of paid sick leave. #LeadOnLeave pic.twitter.com/0jxbEnUUJg|Working families in America should have the basic security of paid sick leave. #LeadOnLeave  |5.444000000000001|5.444000000000001
565|If you think Judge Merrick Garland deserves a fair hearing and an up-or-down vote, add your name: http:// ofa.bo/jA21 #DoYourJob|If you think Judge Merrick Garland deserves a fair hearing and an up-or-down vote, add your name: http://   #DoYourJob|5.790000000000001|5.790000000000001
566|LIVE: The President is at @UChicagoLaw discussing why Judge Garland deserves a fair hearing and an up-or-down vote. http:// ofa.bo/yPP|LIVE: The President is at @UChicagoLaw discussing why Judge Garland deserves a fair hearing and an up-or-down vote. http://  |5.478|5.478
