Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1122438301556858881	@CharlieBona2	2019-04-28 15:21:59	Climate change is a Global Emergency which requires immediate action! Unfortunately the worlds leaders are accelerating the race to disaster in the pursuit of profit making.	0	Tweet
1122360426862264320	@hakbumi	2019-04-28 10:12:32	my march yesterday in Jakarta, ID. Climate Change is a Gender Issue # ClimateStrike ❤️🌱💪🏾pic.twitter.com/6TNzX07flj	8	Tweet
1122339964082098176	@lon_jeremy	2019-04-28 08:51:14	Good however why not meet with @ realDonaldTrump who entirely dismisses climate change ? Speak to the people who don’t not those who do	0	Tweet
1122339282377687040	@lon_jeremy	2019-04-28 08:48:31	I was interested to establish why you chose to go to the UK and yet have not made any attempt to speak to @ realDonaldTrump who denies climate change ? Have you gone to speak to the leaders in China ?	0	Tweet
1122216514403360768	@RossMoncrieff	2019-04-28 00:40:41	@ GretaThunberg XR protestor glues himself to a statue of Darwin, covers himself in blood and gives a speech about the dangers of climate change at Oxford Natural History Museum before being arrested- "no nature, no culture, no future" https://www.youtube.com/watch?v=oL5qcxyIUlY&feature=youtu.be …	0	Tweet
1122175627438768128	@SCOUSEeric	2019-04-27 21:58:13	Yes we are very wrong. How is a few kids taking a few hours off school reducing climate change? Get practical reduce the 7.7bn population by 20% climate change will stand still. A further 20% gives you time to work out a sustainable solution. If we got 10yrs left only cure.	0	Tweet
1122156150378704901	@LeiranGibson	2019-04-27 20:40:49	If scientists and astronomers from all over the world teamed up to capture the first ever image of a black hole, I think we can unite to solve fight climate change.	0	Tweet
1122139688809025536	@DameEdna1	2019-04-27 19:35:24	When she finds her first dildo, she can be an activist for dildoes. Climate change will be a distant memory	0	Tweet
1122112171037593600	@susjakobsen	2019-04-27 17:46:04	I am with you Greta. Thanks for everything you are doing. I have been working on climate change policies for now 25 years now. I takes someone special like you to gather our attention and come together with many different kinds of solutions. Keep going.	0	Tweet
1122107663691788288	@brianypaul	2019-04-27 17:28:09	We can do it as a collective together to highlight and March and contact local politicians to take act on climate change Continued success Greta.. pic.twitter.com/89QzsxkPTz	2	Tweet
1122096211585114113	@nickmyer	2019-04-27 16:42:39	It's the # 5G science you need to be concerned about Greta. That represents one of the biggest threats to Humanity. Climate Change as a threat is artificially manufactured. Weather Warfare methodologies provide the "Climate Change" FX. Very important info>> https://youtu.be/536qN22jxak	0	Tweet
1122091284750118912	@perlonn	2019-04-27 16:23:04	Is climate change the most serious and imminent danger to the world's population? Not according to science. The risk of pandemic is far more serious - and history has shown why! Why is this fact suppressed? https://www.bbc.co.uk/programmes/p059y0p1 …	0	Tweet
1122089899077840896	@techScarlet	2019-04-27 16:17:34	Hi Greta, now politicians listen to you, can you please demand that we plant a measurable 30 billion trees, every single year during this crisis until we hold climate change? Earlier pledges are not enough. https://bit.ly/2yOs7MV https://bit.ly/2UYmarW	0	Tweet
1122066069521346563	@SteB777	2019-04-27 14:42:52	Can I add one thing Greta, and I know you are already aware of this. When we seek solutions, we must chose solutions that address the whole of the ecological crisis, such as biodiversity loss not caused by climate change. It's not just about emissions, but our whole lifestyle.	2	Tweet
1122065631799541760	@PramodGujral2	2019-04-27 14:41:08	I am sorry the way parts of the British media treated you. Thanks for helping bring Climate Change to the top of the British agenda for a week. I hope it stays there now.	3	Tweet
1122064484195946497	@RamoneJonah	2019-04-27 14:36:34	Thinking about Global Equity makes me wonder why we aren't dissolving national borders already. Climate Change does not recognize borders. To preserve organized society we might need to end the idea of nations. (And that might be a good idea, anyway.)	0	Tweet
1122040462150459392	@Helene_SWCP	2019-04-27 13:01:07	When I read or think about climate change and the 6th great extinction, I feel like screaming 'YOU MANIACS! YOU BLEW IT UP! AH, DAMN YOU! GOD DAMN YOU ALL TO HELL!!' (1968, Planet of the Apes, ending)	0	Tweet
1122036871112974336	@StargazerBlake	2019-04-27 12:46:51	America spent trillions of dollars protecting the World from Communism, Nazism, Fascism, Terrorism, etc., Climate change is a problem for countries that have not helped the world much at all like Sweden, Switzerland, Finland, Norway etc., Now it’s America’s turn to sit & watch.	0	Tweet
1122036050728067072	@StargazerBlake	2019-04-27 12:43:35	It is the responsibility of countries like Sweden, Finland, Iceland, Norway etc., to end climate change. They’ve benefited from US protection for decades & now is the time for them to pay it back. Do NOT ask Americans to sacrifice or pay a cent! We’ve done enough for the world.	0	Tweet
1122032989796327424	@PseudoGandhi	2019-04-27 12:31:25	@ GretaThunberg why the climate change fire and anger not reaching India? Being the 4th largest emitter of carbon dioxide, India need quick reform and shift towards sustainable energy.	0	Tweet
1121933364091441152	@Xanthippus1	2019-04-27 05:55:33	Appreciate your efforts, but are you studying in the interim? Please do not use this as an excuse for laziness. Open your books while you have your climate change sign out, just sit behind it =)	0	Tweet
1121928126634835968	@SCheeks	2019-04-27 05:34:44	Wait are kids skipping school to protest climate change or am I missing something..?	0	Tweet
1121904286030548992	@love_godson	2019-04-27 04:00:00	@ GretaThunberg HI , BLESS YOU THIS IS PASTOR JO CHUKWU , I AM REALLY IMPRESSED BY YOUR ACTION TOWARDS GLOBAL CLIMATE CHANGE , I LIKE TO USE THIS OPPORTUNITY TO DISCLOSE THIS TO YOU. GLOBAL PROBLEMS IS MYSTERY THAT MUST BE SOLVED BY GOD AND BY HIS ASSIGNED SERVANT	0	Tweet
1121880416992948224	@FabianDattner	2019-04-27 02:25:09	All ordinary people are frightened about what we face so many act together. What are politicians afraid of? That when jobs and income are lost as industries die we will forget its because of climate change. What do we do to address their fears?	1	Tweet
